Temperature,Humidity,Light,CO2,HumidityRatio,Temperature_lag30,Humidity_lag30,Light_lag30,CO2_lag30,HumidityRatio_lag30,hour_of_day,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,Occupancy
20.29,31.5,0.0,709.0,0.0046384855414709,20.29,31.79,0.0,697.0,0.004681510469066,21,False,False,False,False,False,False,True,0
20.29,31.5,0.0,706.5,0.0046384855414709,20.39,31.79,0.0,698.5,0.0047107429526361,21,False,False,False,False,False,False,True,0
20.29,31.5,0.0,706.333333333333,0.0046384855414709,20.39,31.79,0.0,699.0,0.0047107429526361,21,False,False,False,False,False,False,True,0
20.29,31.39,0.0,713.0,0.0046221672867411,20.39,31.79,0.0,700.0,0.0047107429526361,21,False,False,False,False,False,False,True,0
20.29,31.445,0.0,707.5,0.0046303263078689,20.39,31.79,0.0,695.0,0.0047107429526361,21,False,False,False,False,False,False,True,0
20.3233333333333,31.39,0.0,710.666666666667,0.0046317693866342,20.34,31.79,0.0,701.0,0.0046961066144825,21,False,False,False,False,False,False,True,0
20.3233333333333,31.39,0.0,711.666666666667,0.0046317693866342,20.34,31.79,0.0,698.5,0.0046961066144825,21,False,False,False,False,False,False,True,0
20.39,31.34,0.0,717.0,0.004643562706463,20.39,31.79,0.0,699.0,0.0047107429526361,21,False,False,False,False,False,False,True,0
20.34,31.29,0.0,713.5,0.0046216964151813,20.39,31.79,0.0,699.0,0.0047107429526361,21,False,False,False,False,False,False,True,0
20.34,31.29,0.0,713.0,0.0046216964151813,20.3566666666667,31.79,0.0,702.0,0.0047009809232749,21,False,False,False,False,False,False,True,0
20.29,31.2,0.0,713.5,0.0045939832120956,20.39,31.7,0.0,703.0,0.004697305751081,21,False,False,False,False,False,False,True,0
20.29,31.29,0.0,715.5,0.0046073332472003,20.29,31.745,0.0,700.0,0.0046748337999391,21,False,False,False,False,False,False,True,0
20.29,31.29,0.0,713.0,0.0046073332472003,20.3233333333333,31.7,0.0,701.0,0.0046778556258855,21,False,False,False,False,False,False,True,0
20.29,31.2225,0.0,714.0,0.0045973206675416,20.39,31.7,0.0,708.5,0.004697305751081,22,False,False,False,False,False,False,True,0
20.39,31.29,0.0,714.0,0.0046360991237153,20.39,31.7,0.0,706.0,0.004697305751081,22,False,False,False,False,False,False,True,0
20.29,31.29,0.0,718.5,0.0046073332472003,20.34,31.7,0.0,708.5,0.0046827114744311,22,False,False,False,False,False,False,True,0
20.29,31.245,0.0,719.5,0.0046006581585407,20.39,31.7,0.0,707.0,0.004697305751081,22,False,False,False,False,False,False,True,0
20.29,31.29,0.0,720.0,0.0046073332472003,20.34,31.65,0.0,706.5,0.0046752699773842,22,False,False,False,False,False,False,True,0
20.29,31.2,0.0,715.5,0.0045939832120956,20.29,31.6,0.0,700.5,0.0046533210560385,22,False,False,False,False,False,False,True,0
20.29,31.2,0.0,715.0,0.0045939832120956,20.39,31.6,0.0,712.0,0.0046823762029163,22,False,False,False,False,False,False,True,0
20.29,31.2,0.0,717.0,0.0045939832120956,20.3566666666667,31.6,0.0,710.0,0.004672673395997,22,False,False,False,False,False,False,True,0
20.29,31.1,0.0,720.0,0.0045791505069134,20.39,31.6,0.0,705.0,0.0046823762029163,22,False,False,False,False,False,False,True,0
20.29,31.2,0.0,721.0,0.0045939832120956,20.39,31.6,0.0,709.5,0.0046823762029163,22,False,False,False,False,False,False,True,0
20.29,31.2,0.0,722.0,0.0045939832120956,20.3566666666667,31.5666666666667,0.0,704.0,0.0046677074268139,22,False,False,False,False,False,False,True,0
20.29,31.2,0.0,721.0,0.0045939832120956,20.29,31.6,0.0,708.5,0.0046533210560385,22,False,False,False,False,False,False,True,0
20.29,31.2,0.0,715.5,0.0045939832120956,20.29,31.55,0.0,710.5,0.004645903210949,22,False,False,False,False,False,False,True,0
20.29,31.1333333333333,0.0,718.0,0.004584094663947,20.29,31.5,0.0,708.5,0.0046384855414709,22,False,False,False,False,False,False,True,0
20.29,31.1,0.0,717.666666666667,0.0045791505069134,20.34,31.5,0.0,707.5,0.0046529465465676,22,False,False,False,False,False,False,True,0
